TIMESTAMP,PARTIDA_ID,PLAYER_ID,EQUIPO_ID,POS_X,POS_Y,SIZE,TOTAL_PLAYERS,MODO_JUEGO
2025-11-29 17:29:32.652,1,7,4,84,41,2,10,DUO
2025-11-29 17:29:32.652,1,8,4,64,61,2,10,DUO
2025-11-29 17:29:32.652,1,9,5,87,38,2,10,DUO
2025-11-29 17:29:32.652,1,10,5,11,37,2,10,DUO
2025-11-29 17:29:32.753,1,1,1,51,25,2,10,DUO
2025-11-29 17:29:32.753,1,2,1,90,53,2,10,DUO
2025-11-29 17:29:32.753,1,3,2,61,37,2,10,DUO
2025-11-29 17:29:32.753,1,4,2,75,71,2,10,DUO
2025-11-29 17:29:32.753,1,5,3,44,18,2,10,DUO
2025-11-29 17:29:32.753,1,6,3,29,36,2,10,DUO
2025-11-29 17:29:32.753,1,7,4,84,40,2,10,DUO
2025-11-29 17:29:32.753,1,8,4,64,60,2,10,DUO
2025-11-29 17:29:32.753,1,9,5,87,37,2,10,DUO
2025-11-29 17:29:32.753,1,10,5,11,36,2,10,DUO
2025-11-29 17:29:32.854,1,1,1,51,24,2,10,DUO
2025-11-29 17:29:32.854,1,2,1,90,52,2,10,DUO
2025-11-29 17:29:32.854,1,3,2,61,36,2,10,DUO
2025-11-29 17:29:32.854,1,4,2,75,70,2,10,DUO
2025-11-29 17:29:32.854,1,5,3,44,17,2,10,DUO
2025-11-29 17:29:32.854,1,6,3,29,35,2,10,DUO
2025-11-29 17:29:32.854,1,7,4,84,39,2,10,DUO
2025-11-29 17:29:32.854,1,8,4,64,59,2,10,DUO
2025-11-29 17:29:32.854,1,9,5,87,36,2,10,DUO
2025-11-29 17:29:32.854,1,10,5,11,35,2,10,DUO
2025-11-29 17:29:32.954,1,1,1,51,23,2,10,DUO
2025-11-29 17:29:32.954,1,2,1,90,51,2,10,DUO
2025-11-29 17:29:32.954,1,3,2,61,35,2,10,DUO
2025-11-29 17:29:32.954,1,4,2,75,69,2,10,DUO
2025-11-29 17:29:32.954,1,5,3,44,16,2,10,DUO
2025-11-29 17:29:32.954,1,6,3,29,34,2,10,DUO
2025-11-29 17:29:32.954,1,7,4,84,38,2,10,DUO
2025-11-29 17:29:32.954,1,8,4,64,58,2,10,DUO
2025-11-29 17:29:32.954,1,9,5,87,35,2,10,DUO
2025-11-29 17:29:32.954,1,10,5,11,34,2,10,DUO
2025-11-29 17:29:33.055,1,1,1,51,22,2,10,DUO
2025-11-29 17:29:33.055,1,2,1,90,50,2,10,DUO
2025-11-29 17:29:33.055,1,3,2,61,34,2,10,DUO
2025-11-29 17:29:33.055,1,4,2,75,68,2,10,DUO
2025-11-29 17:29:33.055,1,5,3,44,15,2,10,DUO
2025-11-29 17:29:33.055,1,6,3,29,33,2,10,DUO
